Dia;Dia_mes;Mes;Dia_sem;Lluvia;Lluvia_SN;Fecha;T_MAX_ALERTA;T_MAX;T_MIN;Viento_MAX;Viento_MED;SO2;CO;NO;NO2;PM2.5_UMBRAL;PM2.5;PM10_UMBRAL;PM10;O3;TOL;BEN;EBE;TCH;NMCH;SO2_MAX;CO_MAX;NO_MAX;NO2_MAX;PM2.5_MAX;PM10_MAX;O3_MAX;TOL_MAX;BEN_MAX;EBE_MAX;TCH_MAX;O3_Nivel;Dia_sem_num;Mes2
51;20;FEB;V;0;No;20/02/2015;V;11.4;2.1;22;11;6.9;0.53;3.691.666.667;6.095.833.333;No;2.216.666.667;No;2.583.333.333;33;3.9;1.083.333.333;0.666666667;1.603.333.333;0.24;11;0.8;66;78;24;36;42;5.7;2.7;1.4;1.92;V;6;FEB
52;21;FEB;S;3;Si;21/02/2015;V;13.2;5.2;43;23;5.2;0.35;7.375;25.5;No;7.833.333.333;No;9.75;6.178.571.429;1.416.666.667;0.583333333;0.35;1.426.666.667;0.216666667;10;0.6;23;49;9;15;76;3.2;1.7;0.8;1.63;A;5;FEB
53;22;FEB;D;0;No;22/02/2015;V;14.2;2.5;35;15;5.7;0.36;8.833.333.333;34.75;No;5.833.333.333;No;1.041.666.667;5.071.428.571;1.633.333.333;0.583333333;0.333333333;1.62;0.293333333;10;0.6;33;53;9;20;65;3.3;1.7;0.7;1.89;V;1;FEB
54;23;FEB;L;0;No;23/02/2015;V;13.9;7.4;48;22;5.1;0.3;1.043.478.261;2.404.347.826;No;5.8;No;9.181.818.182;4.971.428.571;1.633.333.333;0.433333333;0.383333333;1.423.333.333;0.293333333;10;0.6;35;46;9;17;70;3.6;1.2;0.9;1.67;V;3;FEB
55;24;FEB;M;0;No;24/02/2015;V;11.7;4.5;49;22;5.222.222.222;0.355555556;8.090.909.091;2.318.181.818;No;4.25;No;8;6.715.384.615;1.94;0.7;0.36;1.555;0.555;9;0.6;33;43;6;13;84;3.9;1.7;0.7;1.66;A;4;FEB
56;25;FEB;X;0;No;25/02/2015;V;14.4;4.4;49;21;5.777.777.778;0.388888889;1.660.869.565;3.526.086.957;No;5.2;No;1.027.272.727;5.684.615.385;2.56;0.8;0.48;1.65;0.57;10;0.7;52;61;7;16;72;4.4;2.1;0.7;1.83;V;7;FEB
57;26;FEB;J;0;No;26/02/2015;V;13.6;6.8;34;15;6;0.39;2.245.833.333;4.483.333.333;No;7;No;11.25;3.378.571.429;2.75;0.8;0.533333333;1.556.666.667;0.423333333;11;0.7;68;70;11;19;49;5.1;2.2;0.9;2;V;2;FEB
58;27;FEB;V;0;No;27/02/2015;V;14.7;7.3;29;14;7.5;0.39;24;4.170.833.333;No;6.166.666.667;No;10.25;4.628.571.429;2.666.666.667;0.716666667;0.55;1.566.666.667;0.446666667;20;0.7;66;61;8;15;57;4.2;1.8;1;1.99;V;6;FEB
59;28;FEB;S;0;No;28/02/2015;V;16.8;4;31;14;7.1;0.41;20.375;43.625;No;7.833.333.333;No;1.391.666.667;3.635.714.286;2.383.333.333;0.65;0.366666667;1.53;0.45;13;0.6;54;59;11;22;53;4.1;1.7;0.7;1.83;V;5;FEB
60;1;MAR;D;0;No;01/03/2015;V;19;9.9;31;17;4.9;0.29;6.833.333.333;2.108.333.333;No;5.166.666.667;No;9.833.333.333;4.921.428.571;1.333.333.333;0.483333333;0.25;1.453.333.333;0.38;9;0.6;24;41;7;17;65;2.8;1.3;0.6;1.77;V;1;MAR
61;2;MAR;L;0;No;02/03/2015;V;18.6;8.5;21;12;5;0.34;2.029.166.667;3.391.666.667;No;1.033.333.333;No;1.591.666.667;25.5;2.316.666.667;0.683333333;0.45;1.54;0.416666667;9;0.6;46;49;14;24;34;5.1;2;0.9;1.94;V;3;MAR
62;3;MAR;M;0;No;03/03/2015;V;17.4;9.4;16;9;5.8;0.42;33.875;4.520.833.333;No;19.5;No;25.5;14.5;3.35;0.916666667;0.733333333;1.626.666.667;0.466666667;10;0.7;59;64;24;36;24;6;2.4;1.6;1.99;V;4;MAR
63;4;MAR;X;0;No;04/03/2015;V;15.3;5.6;42;21;6.8;0.39;3.604.166.667;3.779.166.667;No;1.116.666.667;No;17;41;3.283.333.333;0.833333333;0.616666667;1.583.333.333;0.46;13;0.7;73;55;14;22;53;5.8;2.1;1;1.92;V;7;MAR
64;5;MAR;J;0;No;05/03/2015;V;14.9;2.6;36;17;8.3;0.32;1.291.666.667;36;No;4.833.333.333;No;9.333.333.333;5.371.428.571;1.45;0.533333333;0.283333333;1.473.333.333;0.43;28;0.6;46;58;7;13;71;2.6;1.3;0.6;1.71;V;2;MAR
